abuse_01,abuse_02,abuse_03,abuse_04,abuse_05,address,changed_01,changed_02,changed_03,cidr_01,cidr_02,city_01,city_02,comments_01,comments_02,comments_03,comments_04,comments_05,comments_06,comments_07,comments_08,comments_09,comments_10,country_01,country_02,created_at,descr_01,descr_02,descr_03,descr_04,descr_05,descr_06,descr_07,descr_08,descr_09,descr_10,email_01,email_02,email_03,email_04,email_05,email_06,email_07,email_08,email_09,email_10,fax_01,fax_02,fax_03,hostmax_01,hostmax_02,hostmax_03,hostmax_04,hostmax_05,hostmax_06,hostmax_07,hostmax_08,hostmax_09,hostmax_10,hostmin_01,hostmin_02,hostmin_03,hostmin_04,hostmin_05,hostmin_06,hostmin_07,hostmin_08,hostmin_09,hostmin_10,inetnum_01,inetnum_02,inetnum_03,inetnum_04,inetnum_05,inetnum_06,inetnum_07,inetnum_08,inetnum_09,inetnum_10,info,mnt_01,mnt_02,mnt_03,mnt_04,mnt_05,mnt_06,name,netcount_01,netcount_02,netcount_03,netcount_04,netcount_05,netcount_06,netcount_07,netcount_08,netcount_09,netcount_10,netmask_01,netmask_02,netmask_03,netmask_04,netmask_05,netmask_06,netmask_07,netmask_08,netmask_09,netmask_10,netname_01,netname_02,nichdl_01,nichdl_02,nichdl_03,nichdl_04,nichdl_05,notes,nserver_01,nserver_02,nserver_03,nslastaa_01,nslastaa_02,organization_01,organization_02,organization_03,organization_04,organization_05,orgname_01,orgname_02,orgname_03,orgname_04,orgname_05,originas_01,originas_02,originas_03,originas_04,originas_05,originas_06,originas_07,originas_08,originas_09,originas_10,other_01,other_02,other_03,other_04,other_05,other_06,other_07,other_08,other_09,other_10,parent_01,parent_02,parent_03,person_01,person_02,person_03,phone_01,phone_02,phone_03,postalcode_01,postalcode_02,ref_01,ref_02,ref_03,ref_04,ref_05,ref_06,ref_07,ref_08,ref_09,ref_10,regdate_01,regdate_02,remarks_01,remarks_02,remarks_03,remarks_04,remarks_05,remarks_06,remarks_07,remarks_08,remarks_09,remarks_10,route_01,route_02,rwhois_01,rwhois_02,rwhois_03,rwhois_04,rwhois_05,source,state_01,state_02,updated_01,updated_02,updated_03,updated_at,w_address_01,w_address_02,w_address_03,w_address_04,w_address_05,w_address_06,w_address_07,w_address_08,w_address_09,w_address_10
barry@barry-lloyd.co.uk,NULL,NULL,NULL,NULL,82.221.96.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IS,NULL,2015-07-07 20:22:06 UTC,Barry Lloyd,Thor DC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,abuse@advania.is,barry@barry-lloyd.co.uk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82.221.96.126,82.221.127.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82.221.96.1,82.221.96.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82.221.96.0/25,82.221.96.0/19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IS-SKYRR-MNT,THOR-MNT,NULL,NULL,NULL,NULL,NULL,126,8190,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.128,255.255.224.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IS-BARRYLLOYD-NET,NULL,BL3464-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS50613,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BL3464-RIPE,ASSIGNED PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Barry Lloyd,NULL,NULL,+44 7852 828144,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82.221.96.0/19,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,64 Marine Gate Mansions,Promenade Southport PR9 0EF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AR18923-RIPE,mangohostnetwork@gmail.com,vitl.by@gmail.com,NULL,NULL,83.166.234.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MD,NULL,2015-07-07 20:22:06 UTC,S.R.L. MangoHost Network,str.T.Vladimirescu 1/1  94 Chisinau  Moldova,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mangohostnetwork@gmail.com,vitl.by@gmail.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83.166.234.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83.166.234.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83.166.234.0/24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RIM2000-MNT,CLOUDATAMD-MNT,BSB-SERVICE-MNT,NULL,NULL,NULL,NULL,254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MangoHost-Net,NULL,VL6476-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S.R.L. MangoHost Network,NULL,NULL,NULL,NULL,AS200019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ORG-SMN4-RIPE,VL6476-RIPE,ASSIGNED PA,OTHER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Victor Letkovski,NULL,NULL,+373 79 342393,NULL,NULL,NULL,NULL,CLOUDATAMD-MNT,RIM2000-MNT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1379021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83.166.234.0/24,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,str.T.Vladimirescu 1/1  94 Chisinau  Moldova,T. Vladimirescu str 1/1 2024 Chisinau,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PE1,NULL,NULL,NULL,NULL,83.222.232.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,GB,NULL,2015-07-07 20:22:06 UTC,Peer 1 Network Enterprises Limited,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,abuse@peer1.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+16046834634,NULL,NULL,83.222.255.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83.222.224.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83.222.224.0/19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RIPE-NCC-HM-MNT,PNE-NETADMIN-MNT,NULL,NULL,NULL,NULL,NULL,8190,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.224.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,EU-PER1-20090415,NULL,NOC116-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Peer 1 Network Enterprises Limited,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ORG-PNEL1-RIPE,NOC116-RIPE,ALLOCATED PA,LIR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Peer 1 Support,NULL,NULL,+16046837747,+6044842588,NULL,NULL,NULL,RIPE-NCC-HM-MNT,PNE-NETADMIN-MNT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,Peer 1 Network Inc.,1000-555 West Hastings Street,V6B 4N5,Vancouver,CANADA,Suite 1000 - 555 West Hastings St.,British Columbia,Canada,NULL,NULL
NULL,NULL,NULL,NULL,NULL,84.10.0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PL,NULL,2015-07-07 20:22:06 UTC,UPC Polska Sp. z o.o.,CPE Customers PL,UPC Poland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,abuse@upc.com.pl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+31 20 7788203,NULL,NULL,84.10.3.254,84.10.127.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84.10.0.1,84.10.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84.10.0.0/22,84.10.0.0/17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MNT-LGI,UPC-PL-MNT,AS6830-MNT,NULL,NULL,NULL,NULL,1022,32766,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.252.0,255.255.128.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,UPC-PL,NULL,LGI-RIPE,UP94-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS6830,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,UP94-RIPE,LGI-RIPE,ASSIGNED PA,Hostmaster Liberty Global,SB666-RIPE,SVS4-RIPE,UPC Poland,UPC48-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+31 20 7788200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Contact abuse@upc.com.pl concerning criminal,activities like spam  hacks  portscans,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84.10.0.0/17,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,Liberty Global Europe,Boeing Avenue 53,1119 PE Schiphol Rijk,Netherlands,UPC Polska Sp. z o.o.,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,85.119.96.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,GB,NULL,2015-07-07 20:22:06 UTC,Wanstor,WANSTOR-COL5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,support@wanstor.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85.119.96.126,85.119.96.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85.119.96.1,85.119.96.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85.119.96.0/25,85.119.96.0/24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WANSTOR-UK-MNT,NULL,NULL,NULL,NULL,NULL,NULL,126,254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.128,255.255.255.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WANSTOR,NULL,WHG6-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS2589,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WHG6-RIPE,ASSIGNED PA,Wanstor Hostmaster Group,SB891-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85.119.96.0/24,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,Bridgegate House  124-126 Borough High Street,London SW1V 1AU,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
abuse@poda.cz,NULL,NULL,NULL,NULL,85.135.52.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CZ,NULL,2015-07-07 20:22:06 UTC,Customer No. 18046347 network,PODA-NET,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,abuse@poda.cz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+420 597579000,NULL,NULL,85.135.52.30,85.135.127.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85.135.52.29,85.135.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85.135.52.28/30,85.135.0.0/17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PODACZ-MNT,NULL,NULL,NULL,NULL,NULL,NULL,2,32766,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.252,255.255.128.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CUSTOMER18046347-NET,NULL,PCZ3-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS30764,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PCZ3-RIPE,ASSIGNED PA,PODA-CZ Contact Role,MS473-RIPE,DT59-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+420 597578000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85.135.0.0/17,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,PODA a.s.,28. rijna 1168/102,702 00  Ostrava,Czech Republic,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,85.185.42.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IR,NULL,2015-07-07 20:22:06 UTC,chabahar islamic azad university,DCI-Route,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,R.javidi@tci.ir,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+98 545 444 43 08,NULL,NULL,85.185.42.6,85.185.63.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85.185.42.1,85.185.32.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85.185.42.0/29,85.185.32.0/19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS12880-MNT,NULL,NULL,NULL,NULL,NULL,NULL,6,8190,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.248,255.255.224.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,iaucha,NULL,MK14478-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS12880,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MK14478-RIPE,ASSIGNED PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Majid Khalili,NULL,NULL,+98 545 444 43 07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85.185.32.0/19,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,Chabahar Free Zone.,Islamic Azad University Of Chabahar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
abuse@plusserver.de,NULL,NULL,NULL,NULL,85.25.0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DE,NULL,2015-07-07 20:22:06 UTC,intergenia AG,http://www.intergenia.de,PlusServer AG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,legal@intergenia punkt de,abuse@plusserver.de,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+49 2233 612-53500,+49 2233 612 5165,+49 2233 612 53500,85.25.0.254,85.25.255.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85.25.0.1,85.25.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85.25.0.0/24,85.25.0.0/16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INTERGENIA-MNT,NULL,NULL,NULL,NULL,NULL,NULL,254,65534,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.0,255.255.0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INTERGENIA-1,NULL,NPA10-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS8972,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NPA10-RIPE,ASSIGNED PA,NMC PlusServer AG,JBPS-RIPE,CDPS-RIPE,ADPS-RIPE,MOPS1337-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+49 1801 119991,+49 2233 612 3500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,* and choose the right addresses for contacting our,* staff.,* This will fasten up processing your request !,* Auskunftsersuchen gemaess TKG werden nur unter,* bearbeitet!,* If you have a routing-related request you,NULL,NULL,NULL,NULL,85.25.0.0/16,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,PlusServer AG,Daimlerstr. 9-11,50354 Huerth,NULL,NULL,NULL,NULL,NULL,NULL,NULL
abuse@oneandone.net,NULL,NULL,NULL,NULL,87.106.0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DE,NULL,2015-07-07 20:22:06 UTC,1&1 Internet AG,SCHLUND-PA-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,abuse@oneandone.net,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.106.15.254,87.106.255.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.106.0.1,87.106.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.106.0.0/20,87.106.0.0/16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS8560-MNT,NULL,NULL,NULL,NULL,NULL,NULL,4094,65534,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.240.0,255.255.0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SCHLUND-CUSTOMERS,NULL,IPAD-RIPE,IPOP-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS8560,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IPAD-RIPE,IPOP-RIPE,ASSIGNED PA,IP Administration,AFI5-RIPE,RME9-RIPE,JR2342-RIPE,LTO3-RIPE,ZIG-RIPE,MI-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INFRA-AW,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.106.0.0/16,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,1&1 Internet AG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,87.238.209.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CS,NULL,2015-07-07 20:22:06 UTC,ITS ACCESS NETWORK,ITS-NOC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,valdrin@its-ks.net,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+381 38 243 733,NULL,NULL,87.238.209.254,87.238.210.254,87.238.215.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.238.209.1,87.238.210.1,87.238.208.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.238.209.0/24,87.238.210.0/24,87.238.208.0/21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MNT-ITS-KS,NULL,NULL,NULL,NULL,NULL,NULL,254,254,2046,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.0,255.255.255.0,255.255.248.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ITS-NET,NULL,MG7207-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS39237,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MG7207-RIPE,ASSIGNED PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mentor Gashi,NULL,NULL,+381 38 243 734,+381 38 243 735,+381 38 243 736,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.238.208.0/21,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,HAJRULLAH ABDULLAHU 1 10000  PRISHTINA  KOSOVO-UNMIK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,87.238.210.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CS,NULL,2015-07-07 20:22:06 UTC,ITS ACCESS NETWORK,ITS-NOC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,valdrin@its-ks.net,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+381 38 243 733,NULL,NULL,87.238.209.254,87.238.210.254,87.238.215.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.238.209.1,87.238.210.1,87.238.208.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.238.209.0/24,87.238.210.0/24,87.238.208.0/21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MNT-ITS-KS,NULL,NULL,NULL,NULL,NULL,NULL,254,254,2046,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.0,255.255.255.0,255.255.248.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ITS-NET,NULL,MG7207-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS39237,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MG7207-RIPE,ASSIGNED PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mentor Gashi,NULL,NULL,+381 38 243 734,+381 38 243 735,+381 38 243 736,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.238.208.0/21,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,HAJRULLAH ABDULLAHU 1 10000  PRISHTINA  KOSOVO-UNMIK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
abuse@redstation.com,NULL,NULL,NULL,NULL,88.150.128.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,GB,NULL,2015-07-07 20:22:06 UTC,Dedicated Server Hosting,Redstation Limited,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,abuse@redstation.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88.150.128.6,88.150.135.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88.150.128.1,88.150.128.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88.150.128.0/29,88.150.128.0/21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,REDSTATION-MNT,GB10488-RIPE-MNT,NULL,NULL,NULL,NULL,NULL,6,2046,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.248,255.255.248.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RSDEDI-GJEKDIJE,NULL,RA1415-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS35662,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RA1415-RIPE,ASSIGNED PA,Redstation Admin Role,KMAC-RIPE,SL9817-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88.150.128.0/21,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,Redstation Limited,2 Frater Gate Business Park,Aerodrome Road,Gosport,Hampshire,PO13 0GW,UNITED KINGDOM,NULL,NULL,NULL
